State,2003,2004,2005,2006,2007,2008,2009,2010,2011
Andhra Pradesh,-5710,-5230,-4315.2,-1001.9,744,2548,5190.8,6533.76,12110
Assam,-40380,-46930,-56893.792,-1370,-2570,-3850,-4260,-7650,-12680
Bihar,-18620,-28490,-2410,-6700,-15250,-21090,-31140,-45260,-58580
Chhattisgarh,9600,15990,8870,12800,17160,21700,-630,-4950,-8740
Delhi,-8320,-30250,-38960,-36580,-33920,-36000,-34890,-26710,-16990
Goa,1240,2770,4240,5680,6940,8330,9910,10710,9270
Gujarat,-52880,-72180,-82707.8,3360,5330,6330,7570,10020,14600
Haryana,-9860,-7510,-12050,-16490,-20060,-14030,-42010,-56090,-59410
Himachal Pradesh,-1760,-2220,-260,-239,-237,-263,-230,-383,-8940
Jammu & Kashmir,-17660,-27550,-38350,-52570,-64840,-82880,-95670,-117500,-136800
Karnataka,1020,1450,3840,5230,3650,5510,-11860,-12820,-12720
Kerala,2970,3880,4920,5930,8110,10280,12450,14860,17270
Madhya Pradesh,-25210,-23610,-9490,-7430,-17240,-35520,-63690,-104920,-129180
Maharashtra,-5550,-11040,-18720.6,110,-820,5670,-6780,-13810,-23020
Manipur,-2570,-3850,-5190,-7620,-10470,-9900,-11030,-12090,-13240
Meghalaya,-3450,-2710,-2690,-3100,-4040,-4020,-3930,-4490,-5400
Mizoram,-740,-1360,-1910,-2310,-3020,-3440,-4160,-5450,-7140
Nagaland,-1490,-1910,-3120,-3980,-4900,-5790,-6460,-7580,-9140
Orissa,-33650,-33170,-30970,-31960,-28930,-21680,-22580,-25510,-33590
Punjab,-7080,-5330,-43670,-43540,-59810,-73700,-84110,-97130,-14820
Rajasthan,0,0,0,0,0,0,-13570,-21850,-21890
Sikkim,-400,20,0,0,0,0,0,0,0
Tamil Nadu,-12960,-24060,-35830,-49120,-61300,-96430,-174140,-270940,-99800
Tripura,-1970,-2040,-3420,-3330,-3060,-2850,-2390,-2720,-3600
Uttar Pradesh,-60790,-77910,-119320,-151790,-197930,-205959,-257473,-322826.6,-437630
Uttarakhand,-160,-730,-2800,-5090,-8150,-12956,-16480,-15780,-18960
West Bengal,-46710,-50010,-52771.5,-55128.9,-92454,-65.8,2166.5,3154.4,4380
